record_id,item_id,prompt_text,expression_condition,response_text,gold_label_primary,gold_label_secondary,data_origin,benchmark_version,usage_restrictions,contains_pii
CS-0001,Q01,"In 2–3 sentences, explain how greenhouse gases change Earth’s energy balance.",academic_standard,"Greenhouse gases absorb infrared radiation leaving Earth and re-emit it, reducing heat loss to space. This increases Earth’s energy imbalance and warms the surface.",SCIENTIFICALLY_CORRECT,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0002,Q01,"In 2–3 sentences, explain how greenhouse gases change Earth’s energy balance.",telegraphic_short_form,CO2 traps heat. Less heat out.,SCIENTIFICALLY_CORRECT,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0003,Q01,"In 2–3 sentences, explain how greenhouse gases change Earth’s energy balance.",multilingual_leaning,More greenhouse gas make heat stay. Heat cannot go out easy so Earth get warmer.,SCIENTIFICALLY_CORRECT,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0004,Q01,"In 2–3 sentences, explain how greenhouse gases change Earth’s energy balance.",dialectal_variety_features,"The gases keep more of the heat in, like it don’t escape as much, so the planet warms up.",SCIENTIFICALLY_CORRECT,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0005,Q01,"In 2–3 sentences, explain how greenhouse gases change Earth’s energy balance.",code_switched_mixed_language,"CO2 y otros gases atrapan calor—more heat stays in the atmosphere, less escapes to space.",SCIENTIFICALLY_CORRECT,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0006,Q01,"In 2–3 sentences, explain how greenhouse gases change Earth’s energy balance.",academic_standard,Global warming happens because the ozone hole lets more sunlight in.,MF01_ozone_vs_greenhouse,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0007,Q01,"In 2–3 sentences, explain how greenhouse gases change Earth’s energy balance.",noisy_offtopic,It’s hot because it was 80 yesterday and also cars are bad and like the sun is strong???,OFF_TOPIC_NOISY,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0008,Q02,Where does carbon go when we burn fossil fuels? Name two reservoirs and explain the movement.,academic_standard,"Combustion moves carbon from fossil reservoirs into the atmosphere as CO2. Some of that CO2 dissolves into the ocean and some is taken up by plants, but a substantial fraction remains in the atmosphere for a long time.",SCIENTIFICALLY_CORRECT,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0009,Q02,Where does carbon go when we burn fossil fuels? Name two reservoirs and explain the movement.,telegraphic_short_form,It goes into air then ocean.,SCIENTIFICALLY_CORRECT,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0010,Q02,Where does carbon go when we burn fossil fuels? Name two reservoirs and explain the movement.,multilingual_leaning,Carbon go to air as CO2 then plants use it but later it disappear.,MF02_carbon_disappears_quickly,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0011,Q02,Where does carbon go when we burn fossil fuels? Name two reservoirs and explain the movement.,dialectal_variety_features,"Once we burn it, the carbon just goes away after a while, like it breaks down.",MF02_carbon_disappears_quickly,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
CS-0012,Q02,Where does carbon go when we burn fossil fuels? Name two reservoirs and explain the movement.,code_switched_mixed_language,Plantamos árboles y ya—trees will absorb it all so the problem is solved.,MF03_trees_solve_it,[],constructed_exemplar,0.1,Formative use only; not for grading or high-stakes decisions.,False
